fam_id	annotation_id	annotation_fraction
347145	IPR000594	1
347145	IPR009036	1
347145	IPR016040	1
347147	IPR000524	1
347147	IPR011991	1
347148	IPR003869	1
347148	IPR016040	1
347149	IPR001127	1
347149	IPR011055	1
347150	IPR002502	1
347150	IPR018337	1
347151	IPR011042	0.333333333333333
347154	IPR000185	1
347154	IPR004027	1
347154	IPR011115	1
347154	IPR011116	1
347154	IPR011130	1
347154	IPR014018	1
347154	IPR020937	0.666666666666667
347156	IPR019239	1
347157	IPR001343	0.333333333333333
347157	IPR010895	0.666666666666667
347157	IPR011049	1
347157	IPR018511	0.666666666666667
347158	IPR001680	1
347158	IPR009003	0.5
347158	IPR011047	0.5
347158	IPR015943	1
347158	IPR017986	1
347158	IPR019775	1
347158	IPR020472	1
347164	IPR007876	1
347169	IPR000194	1
347169	IPR003593	1
347169	IPR004665	1
347169	IPR011112	1
347169	IPR011113	1
347169	IPR011129	1
347169	IPR012340	1
347169	IPR016027	1
347173	IPR013216	1
347174	IPR000601	0.333333333333333
347174	IPR001258	1
347174	IPR006530	1
347174	IPR008969	0.666666666666667
347174	IPR011042	1
347174	IPR013017	1
347174	IPR014766	0.666666666666667
347174	IPR022385	1
347176	IPR000209	1
347176	IPR009020	1
347176	IPR015366	1
347176	IPR023828	1
347178	IPR024787	1
347181	IPR007921	0.909090909090909
347181	IPR009148	0.818181818181818
347181	IPR013688	0.909090909090909
347182	IPR005490	1
347182	IPR022029	1
347183	IPR008878	1
347187	IPR002110	1
347187	IPR020683	1
347190	IPR003961	1
347190	IPR008979	1
347190	IPR013540	0.5
347190	IPR013783	1
347190	IPR013830	1
347190	IPR013831	1
347190	IPR014756	0.5
347194	IPR025743	1
347197	IPR000160	0.5
347197	IPR001054	0.5
347197	IPR001633	0.5
347197	IPR001789	0.5
347197	IPR011006	0.5
347198	IPR000962	1
347198	IPR020458	0.5
347201	IPR006638	0.5
347201	IPR007197	1
347202	IPR002559	1
347204	IPR000713	0.75
347204	IPR004101	1
347204	IPR005758	1
347204	IPR013221	1
347204	IPR016040	1
347205	IPR004401	1
347206	IPR003344	1
347206	IPR008964	1
347207	IPR008920	1
347207	IPR011711	1
347212	IPR004623	1
347215	IPR000182	1
347215	IPR016181	1
347217	IPR005754	1
347217	IPR023365	1
347218	IPR024485	1
347219	IPR000583	1
347219	IPR017932	1
347221	IPR002934	1
347224	IPR019931	0.166666666666667
347226	IPR003751	1
347227	IPR005046	1
347227	IPR011889	1
347230	IPR011047	1
347230	IPR018391	1
347231	IPR002104	1
347231	IPR011010	1
347231	IPR013762	1
347232	IPR000330	1
347232	IPR001650	1
347232	IPR007527	1
347232	IPR014001	1
347236	IPR012381	1
347239	IPR000014	0.5
347239	IPR003661	0.5
347239	IPR009082	0.5
347242	IPR002202	1
347242	IPR009029	1
347242	IPR023074	1
347244	IPR008972	1
347247	IPR021280	0.5
347251	IPR006992	1
347252	IPR013126	1
347252	IPR018181	1
347253	IPR001307	1
347253	IPR001763	1
347255	IPR001611	1
347259	IPR001447	1
347263	IPR001940	1
347263	IPR009003	1
347264	IPR000595	0.5
347264	IPR000644	1
347264	IPR013785	1
347264	IPR014710	1
347264	IPR018490	1
347268	IPR007539	0.5
347270	IPR000924	1
347270	IPR014729	1
347270	IPR020058	1
347270	IPR022380	1
347273	IPR000182	1
347273	IPR016181	1
347275	IPR001347	1
347276	IPR004155	1
347276	IPR011989	1
347276	IPR016024	1
347277	IPR001547	1
347277	IPR001919	1
347277	IPR002883	1
347277	IPR008965	1
347277	IPR009031	1
347277	IPR012291	1
347277	IPR013781	1
347277	IPR017853	1
347277	IPR018366	0.333333333333333
347278	IPR011250	0.8
347278	IPR025665	0.8
347279	IPR002860	1
347279	IPR011040	1
347279	IPR015943	1
347281	IPR000878	1
347281	IPR003043	0.5
347281	IPR006362	1
347281	IPR010388	1
347281	IPR014776	1
347281	IPR014777	1
347282	IPR022385	1
347288	IPR001584	1
347288	IPR012337	1
347291	IPR021696	1
347296	IPR010432	1
347297	IPR002319	1
347297	IPR005121	1
347298	IPR010652	1
347301	IPR006998	1
347301	IPR007002	1
347301	IPR013830	0.5
347301	IPR023896	1
347303	IPR003594	1
347303	IPR011712	1
347309	IPR008880	1
347311	IPR003646	1
347313	IPR023562	0.5
347317	IPR013830	1
347317	IPR013831	1
347318	IPR001279	1
347318	IPR003033	1
347319	IPR002543	0.666666666666667
347319	IPR018541	0.666666666666667
347319	IPR025199	0.666666666666667
347320	IPR012899	0.5
347322	IPR008613	1
347322	IPR011434	1
347322	IPR018337	1
347327	IPR025648	1
347329	IPR016040	1
347331	IPR002145	1
347331	IPR010985	0.8
347335	IPR006090	0.95959595959596
347335	IPR006091	0.95959595959596
347335	IPR006092	0.95959595959596
347335	IPR009075	0.95959595959596
347335	IPR009100	0.95959595959596
347335	IPR013786	0.95959595959596
347336	IPR016181	1
347337	IPR000119	1
347337	IPR010992	1
347337	IPR023630	1
347338	IPR001486	1
347338	IPR009050	1
347338	IPR012292	1
347342	IPR007903	1
347342	IPR011033	1
347345	IPR000249	1
347347	IPR002104	1
347347	IPR011010	1
347347	IPR013762	1
347348	IPR004305	1
347348	IPR016084	1
347349	IPR001258	1
347349	IPR011042	1
347351	IPR009722	1
347351	IPR011042	0.5
347357	IPR009875	1
347361	IPR018631	1
347362	IPR007793	1
347362	IPR019933	1
347365	IPR003770	0.5
347366	IPR006153	1
347368	IPR006127	0.987012987012987
347368	IPR006128	0.662337662337662
347368	IPR006129	0.012987012987013
347370	IPR011652	1
347373	IPR011871	0.5
347374	IPR004089	1
347375	IPR011040	1
347376	IPR000298	1
347376	IPR000883	1
347376	IPR013833	1
347376	IPR014241	1
347376	IPR016133	0.1
347376	IPR023616	1
347380	IPR001387	1
347380	IPR010982	1
347381	IPR002104	1
347381	IPR011010	1
347381	IPR013762	1
347381	IPR023109	1
347385	IPR003445	1
347386	IPR003439	0.5
347386	IPR003593	0.5
347387	IPR025831	0.5
347388	IPR014161	1
347390	IPR004830	0.727272727272727
347390	IPR011989	1
347390	IPR016024	1
347393	IPR001305	1
347395	IPR000014	0.333333333333333
347395	IPR013656	0.666666666666667
347401	IPR018483	1
347401	IPR018484	0.666666666666667
347401	IPR018485	1
347402	IPR008110	0.5
347404	IPR000531	0.833333333333333
347408	IPR001623	0.333333333333333
347408	IPR003095	0.333333333333333
347408	IPR011652	1
347410	IPR007221	0.5
347412	IPR005226	0.5
347413	IPR000601	1
347413	IPR016134	1
347413	IPR018247	1
347413	IPR018249	1
347413	IPR022409	1
347419	IPR000415	1
347421	IPR003961	0.5
347421	IPR006626	0.5
347421	IPR011050	0.5
347421	IPR012334	0.5
347421	IPR013783	0.5
347425	IPR000400	0.5
347425	IPR003610	0.5
347425	IPR023099	0.5
347425	IPR023346	0.5
347426	IPR001611	1
347426	IPR003591	0.5
347426	IPR025875	1
347428	IPR000182	1
347428	IPR016181	1
347431	IPR010090	0.8
347431	IPR016024	0.333333333333333
347432	IPR012651	1
347433	IPR005502	1
347436	IPR008258	1
347436	IPR023346	1
347438	IPR011990	1
347440	IPR009767	0.166666666666667
347440	IPR014059	1
347440	IPR014129	0.166666666666667
347440	IPR014862	1
347441	IPR003447	0.75
347441	IPR010978	0.75
347441	IPR016181	0.75
347444	IPR001584	1
347444	IPR012337	1
