fam_id	num_nonAnnot	num_annotations	total_fam_members	proportion_nonAnnot
347145	0	9	3	0
347146	2	0	2	1
347147	0	4	2	0
347148	0	4	2	0
347149	0	10	5	0
347150	0	4	2	0
347151	2	1	3	0.666666666666667
347152	2	0	2	1
347153	2	0	2	1
347154	0	20	3	0
347155	2	0	2	1
347156	0	2	2	0
347157	0	8	3	0
347158	0	12	2	0
347159	4	0	4	1
347160	1	0	1	1
347161	2	0	2	1
347162	3	0	3	1
347163	2	0	2	1
347164	0	2	2	0
347165	3	0	3	1
347166	2	0	2	1
347167	3	0	3	1
347168	4	0	4	1
347169	0	16	2	0
347170	2	0	2	1
347171	2	0	2	1
347172	2	0	2	1
347173	0	2	2	0
347174	0	20	3	0
347175	2	0	2	1
347176	0	8	2	0
347177	2	0	2	1
347178	0	2	2	0
347179	2	0	2	1
347180	2	0	2	1
347181	1	29	11	0.0909090909090909
347182	0	4	2	0
347183	0	5	5	0
347184	2	0	2	1
347185	2	0	2	1
347186	2	0	2	1
347187	0	4	2	0
347188	4	0	4	1
347189	2	0	2	1
347190	0	12	2	0
347191	16	0	16	1
347192	3	0	3	1
347193	2	0	2	1
347194	0	2	2	0
347195	2	0	2	1
347196	2	0	2	1
347197	1	5	2	0.5
347198	0	3	2	0
347199	2	0	2	1
347200	3	0	3	1
347201	0	3	2	0
347202	0	3	3	0
347203	4	0	4	1
347204	0	19	4	0
347205	0	2	2	0
347206	0	4	2	0
347207	0	6	3	0
347208	2	0	2	1
347209	2	0	2	1
347210	2	0	2	1
347211	5	0	5	1
347212	0	2	2	0
347213	2	0	2	1
347214	2	0	2	1
347215	0	4	2	0
347216	5	0	5	1
347217	0	8	4	0
347218	0	4	4	0
347219	0	4	2	0
347220	2	0	2	1
347221	0	2	2	0
347222	2	0	2	1
347223	2	0	2	1
347224	5	1	6	0.833333333333333
347225	2	0	2	1
347226	0	2	2	0
347227	0	10	5	0
347228	2	0	2	1
347229	2	0	2	1
347230	0	6	3	0
347231	0	9	3	0
347232	0	8	2	0
347233	3	0	3	1
347234	3	0	3	1
347235	2	0	2	1
347236	0	2	2	0
347237	2	0	2	1
347238	2	0	2	1
347239	1	3	2	0.5
347240	2	0	2	1
347241	2	0	2	1
347242	0	6	2	0
347243	4	0	4	1
347244	0	2	2	0
347245	2	0	2	1
347246	10	0	10	1
347247	1	1	2	0.5
347248	11	0	11	1
347249	2	0	2	1
347250	2	0	2	1
347251	0	2	2	0
347252	0	4	2	0
347253	0	10	5	0
347254	2	0	2	1
347255	0	2	2	0
347256	2	0	2	1
347257	2	0	2	1
347258	2	0	2	1
347259	0	2	2	0
347260	2	0	2	1
347261	2	0	2	1
347262	4	0	4	1
347263	0	4	2	0
347264	0	9	2	0
347265	2	0	2	1
347266	4	0	4	1
347267	2	0	2	1
347268	1	1	2	0.5
347269	2	0	2	1
347270	0	12	3	0
347271	3	0	3	1
347272	3	0	3	1
347273	0	8	4	0
347274	2	0	2	1
347275	0	3	3	0
347276	0	6	2	0
347277	0	25	3	0
347278	1	8	5	0.2
347279	0	6	2	0
347280	2	0	2	1
347281	0	11	2	0
347282	0	2	2	0
347283	3	0	3	1
347284	4	0	4	1
347285	4	0	4	1
347286	3	0	3	1
347287	2	0	2	1
347288	0	6	3	0
347289	2	0	2	1
347290	3	0	3	1
347291	0	3	3	0
347292	2	0	2	1
347293	2	0	2	1
347294	5	0	5	1
347295	3	0	3	1
347296	0	2	2	0
347297	0	4	2	0
347298	0	2	2	0
347299	2	0	2	1
347300	2	0	2	1
347301	0	7	2	0
347302	2	0	2	1
347303	0	4	2	0
347304	2	0	2	1
347305	2	0	2	1
347306	2	0	2	1
347307	2	0	2	1
347308	3	0	3	1
347309	0	5	5	0
347310	4	0	4	1
347311	0	2	2	0
347312	2	0	2	1
347313	1	1	2	0.5
347314	3	0	3	1
347315	7	0	7	1
347316	2	0	2	1
347317	0	4	2	0
347318	0	4	2	0
347319	1	6	3	0.333333333333333
347320	1	1	2	0.5
347321	2	0	2	1
347322	0	9	3	0
347323	2	0	2	1
347324	2	0	2	1
347325	2	0	2	1
347326	2	0	2	1
347327	0	6	6	0
347328	2	0	2	1
347329	0	2	2	0
347330	2	0	2	1
347331	0	9	5	0
347332	2	0	2	1
347333	2	0	2	1
347334	2	0	2	1
347335	4	570	99	0.0404040404040404
347336	0	2	2	0
347337	0	6	2	0
347338	0	24	8	0
347339	2	0	2	1
347340	4	0	4	1
347341	2	0	2	1
347342	0	6	3	0
347343	2	0	2	1
347344	2	0	2	1
347345	0	2	2	0
347346	2	0	2	1
347347	0	6	2	0
347348	0	4	2	0
347349	0	4	2	0
347350	3	0	3	1
347351	0	3	2	0
347352	7	0	7	1
347353	2	0	2	1
347354	3	0	3	1
347355	2	0	2	1
347356	2	0	2	1
347357	0	2	2	0
347358	2	0	2	1
347359	2	0	2	1
347360	2	0	2	1
347361	0	3	3	0
347362	0	10	5	0
347363	2	0	2	1
347364	7	0	7	1
347365	1	1	2	0.5
347366	0	5	5	0
347367	3	0	3	1
347368	1	128	77	0.012987012987013
347369	2	0	2	1
347370	0	2	2	0
347371	2	0	2	1
347372	3	0	3	1
347373	3	3	6	0.5
347374	0	2	2	0
347375	0	2	2	0
347376	0	51	10	0
347377	2	0	2	1
347378	2	0	2	1
347379	2	0	2	1
347380	0	10	5	0
347381	0	8	2	0
347382	1	0	1	1
347383	2	0	2	1
347384	2	0	2	1
347385	0	3	3	0
347386	1	2	2	0.5
347387	1	1	2	0.5
347388	0	2	2	0
347389	2	0	2	1
347390	0	30	11	0
347391	2	0	2	1
347392	2	0	2	1
347393	0	2	2	0
347394	2	0	2	1
347395	1	3	3	0.333333333333333
347396	2	0	2	1
347397	4	0	4	1
347398	2	0	2	1
347399	5	0	5	1
347400	3	0	3	1
347401	0	8	3	0
347402	1	1	2	0.5
347403	2	0	2	1
347404	1	5	6	0.166666666666667
347405	2	0	2	1
347406	3	0	3	1
347407	2	0	2	1
347408	0	5	3	0
347409	11	0	11	1
347410	1	1	2	0.5
347411	2	0	2	1
347412	1	1	2	0.5
347413	0	10	2	0
347414	4	0	4	1
347415	2	0	2	1
347416	2	0	2	1
347417	2	0	2	1
347418	2	0	2	1
347419	0	2	2	0
347420	2	0	2	1
347421	1	5	2	0.5
347422	3	0	3	1
347423	2	0	2	1
347424	3	0	3	1
347425	1	4	2	0.5
347426	0	5	2	0
347427	2	0	2	1
347428	0	6	3	0
347429	3	0	3	1
347430	2	0	2	1
347431	0	17	15	0
347432	0	2	2	0
347433	0	3	3	0
347434	2	0	2	1
347435	2	0	2	1
347436	0	4	2	0
347437	2	0	2	1
347438	0	2	2	0
347439	3	0	3	1
347440	0	14	6	0
347441	1	9	4	0.25
347442	8	0	8	1
347443	2	0	2	1
347444	0	6	3	0
347445	0	18	6	0
347446	2	0	2	1
347447	2	0	2	1
347448	0	4	2	0
347449	2	0	2	1
347450	0	6	2	0
347451	0	6	2	0
347452	2	0	2	1
347453	3	0	3	1
347454	2	0	2	1
347455	3	0	3	1
347456	0	4	4	0
347457	2	0	2	1
347458	2	0	2	1
347459	2	0	2	1
347460	1	1	2	0.5
347461	2	0	2	1
347462	0	2	2	0
347463	0	2	2	0
347464	2	0	2	1
347465	2	0	2	1
347466	0	6	2	0
347467	2	0	2	1
347468	1	1	2	0.5
347469	3	0	3	1
347470	2	0	2	1
347471	2	0	2	1
347472	2	0	2	1
347473	2	0	2	1
347474	2	0	2	1
347475	2	9	3	0.666666666666667
347476	2	0	2	1
347477	2	0	2	1
347478	2	0	2	1
347479	2	0	2	1
347480	2	0	2	1
347481	2	0	2	1
347482	3	0	3	1
347483	1	1	2	0.5
347484	0	2	2	0
347485	3	0	3	1
347486	5	0	5	1
347487	2	0	2	1
347488	1	0	1	1
347489	0	8	8	0
347490	6	0	6	1
347491	4	0	4	1
347492	0	40	5	0
347493	6	0	6	1
347494	0	8	2	0
347495	0	11	2	0
347496	3	0	3	1
347497	4	0	4	1
347498	1	4	3	0.333333333333333
347499	2	0	2	1
347500	2	12	5	0.4
347501	1	2	3	0.333333333333333
347502	2	0	2	1
347503	2	0	2	1
347504	2	0	2	1
347505	0	8	3	0
347506	0	2	2	0
347507	2	0	2	1
347508	2	0	2	1
347509	0	2	2	0
347510	4	0	4	1
347511	2	0	2	1
347512	0	5	3	0
347513	3	0	3	1
347514	0	2	2	0
347515	2	0	2	1
347516	1	2	2	0.5
347517	0	2	2	0
347518	5	0	5	1
347519	2	0	2	1
347520	0	2	2	0
347521	3	0	3	1
347522	3	0	3	1
347523	4	0	4	1
347524	2	0	2	1
347525	0	4	3	0
347526	3	0	3	1
347527	2	0	2	1
347528	0	4	2	0
347529	0	14	4	0
347530	0	7	2	0
347531	0	3	3	0
347532	2	0	2	1
347533	0	4	2	0
347534	3	0	3	1
347535	2	0	2	1
347536	0	8	2	0
347537	2	0	2	1
347538	1	3	2	0.5
347539	0	5	2	0
347540	2	0	2	1
347541	2	0	2	1
347542	2	0	2	1
347543	0	4	2	0
347544	2	0	2	1
347545	2	0	2	1
347546	2	0	2	1
347547	3	0	3	1
347548	2	0	2	1
347549	0	24	8	0
347550	1	1	2	0.5
347551	3	0	3	1
347552	2	0	2	1
347553	2	0	2	1
347554	3	0	3	1
347555	4	0	4	1
347556	0	2	2	0
